# ----------------------------------------
# highcharts.com
# Audience Overview
# 20171217-20180117
# ----------------------------------------
Day Index,Users,Sessions
12/18/2017,"40,585","48,351"
12/19/2017,"43,039","51,499"
12/20/2017,"44,926","53,359"
12/21/2017,"41,256","49,018"
12/22/2017,"36,844","43,332"
12/23/2017,"28,955","33,419"
12/24/2017,"26,113","30,020"
12/25/2017,"28,433","33,183"
12/26/2017,"32,687","38,782"
12/27/2017,"35,689","42,566"
12/28/2017,"33,656","39,972"
12/29/2017,"34,559","40,414"
12/30/2017,"29,197","33,565"
12/31/2017,"26,495","30,738"
01/01/2018,"28,291","32,822"
01/02/2018,"35,472","42,081"
01/03/2018,"38,363","45,652"
01/04/2018,"41,645","49,572"
01/05/2018,"40,268","47,936"
01/06/2018,"32,846","37,539"
01/07/2018,"33,560","38,527"
01/08/2018,"39,327","46,847"
01/09/2018,"42,947","51,286"
01/10/2018,"44,179","53,245"
01/11/2018,"41,938","50,733"
01/12/2018,"40,964","49,046"
01/13/2018,"32,176","37,106"
01/14/2018,"28,915","33,218"
01/15/2018,"37,077","44,192"
01/16/2018,"41,477","49,612"
01/17/2018,"41,840","50,285"
01/18/2018,"51,480",56.31654822
01/19/2018,"75,094",54.94136284
01/20/2018,"42,880",56.62982489
01/21/2018,"70,098",44.99566841
01/22/2018,"66,308",52.47646156
01/23/2018,"43,066",56.48651963
01/24/2018,"65,344",60.35266515
01/25/2018,"59,779",82.89366261
01/26/2018,"60,371",45.09644393
01/27/2018,"60,512",71.60766444
01/28/2018,"42,581",46.43615149
01/29/2018,"55,723",47.08331357
01/30/2018,"45,225",48.2137683
01/31/2018,"72,794",62.23771418
02/01/2018,"69,559",76.9887972
02/02/2018,"66,938",82.35792301
02/03/2018,"56,550",60.73850432
02/04/2018,"49,046",72.75203906
02/05/2018,"53,664",55.64427828
02/06/2018,"67,069",68.93305052
02/07/2018,"57,209",60.35039078
02/08/2018,"55,326",61.49787306
02/09/2018,"45,900",67.01088644
02/10/2018,"54,773",71.92875844
02/11/2018,"70,930",45.0610712
02/12/2018,"48,130",43.92163135
02/13/2018,"79,067",45.11317008
02/14/2018,"70,987",83.64949731
02/15/2018,"57,694",56.74068941
